,EpochLoss
0,7.190088748931885
1,4.5654802322387695
2,2.4637465476989746
3,1.1953723430633545
4,0.431878000497818
5,0.12978306412696838
6,0.08188201487064362
7,0.07763281464576721
8,0.07543431967496872
9,0.06493562459945679
10,0.055112168192863464
11,0.05082779750227928
12,0.04177216812968254
13,0.028775328770279884
14,0.01997929997742176
15,0.016546739265322685
16,0.012387379072606564
17,0.009029274806380272
18,0.007458305452018976
19,0.004730411805212498
20,0.0023121677804738283
21,0.0011081318370997906
22,0.0007676700479350984
23,0.0008694275747984648
24,0.0005985182942822576
25,0.00035787041997537017
26,0.0003153721918351948
27,0.0001821258629206568
28,0.00011935271322727203
29,0.0001036050307448022
30,8.677635196363553e-05
31,6.773473432986066e-05
32,5.429289012681693e-05
33,4.482404256123118e-05
34,3.6207067751092836e-05
35,2.8156277039670385e-05
36,2.1596548322122544e-05
37,1.682656329649035e-05
38,1.3483387192536611e-05
39,1.1086452104791533e-05
40,9.295433301304001e-06
41,7.914813068055082e-06
42,6.832518010924105e-06
43,5.974929990770761e-06
44,5.2891132327204105e-06
45,4.7363432713609654e-06
46,4.2871706682490185e-06
47,3.920208655472379e-06
48,3.619102244556416e-06
49,3.3709507079038303e-06
50,3.165289172102348e-06
51,2.9924451609986136e-06
52,2.844246182576171e-06
53,2.713346020755125e-06
54,2.5937183636415284e-06
55,2.4806065539451083e-06
56,2.3701004465692677e-06
57,2.260289420519257e-06
58,2.150938371414668e-06
59,2.0421011868165806e-06
60,1.934686451932066e-06
61,1.8300129340786953e-06
62,1.7289596598857315e-06
63,1.6331140386682819e-06
64,1.5429451423187857e-06
65,1.4590417549698032e-06
66,1.3815217698720517e-06
67,1.3101503100187983e-06
68,1.24501684695133e-06
69,1.1854743888761732e-06
70,1.131376961893693e-06
71,1.082136009245005e-06
72,1.037075207932503e-06
73,9.961951263903757e-07
74,9.587890872353455e-07
75,9.246219292435853e-07
76,8.93104811439116e-07
77,8.64179185100511e-07
78,8.375210995836824e-07
79,8.129244974952599e-07
80,7.902129368630995e-07
81,7.689149583711696e-07
82,7.49178127534833e-07
83,7.306487646019377e-07
84,7.13356541837129e-07
85,6.970363415348402e-07
86,6.818355018367583e-07
87,6.674297878817015e-07
88,6.537312629006919e-07
89,6.409163120224548e-07
90,6.285726499299926e-07
91,6.171127324705594e-07
92,6.06094772592769e-07
93,5.954301514066174e-07
94,5.853547691003769e-07
95,5.7580962220527e-07
96,5.665591515935375e-07
97,5.577503543463536e-07
98,5.492657351169328e-07
99,5.411346251094074e-07
100,5.332980776984186e-07
101,5.256677582110569e-07
102,5.183909479455906e-07
103,5.114970349495707e-07
104,5.047210720476869e-07
105,4.980039989277429e-07
106,4.917287128591852e-07
107,4.856008786191524e-07
108,4.795907102561614e-07
109,4.7378694034705404e-07
110,4.6821872956570587e-07
111,4.6270946540971636e-07
112,4.5740651444248215e-07
113,4.5219181288302934e-07
114,4.471833960906224e-07
115,4.4235170548745373e-07
116,4.375495166186738e-07
117,4.328062459535431e-07
118,4.282101997432619e-07
119,4.237614916746679e-07
120,4.19371758653142e-07
121,4.1509983361720515e-07
122,4.1106355297415575e-07
123,4.069978558618459e-07
124,4.0293215874953603e-07
125,3.990137429354945e-07
126,3.952131919504609e-07
127,3.9161884046734485e-07
128,3.8799507251496834e-07
129,3.8425343973358395e-07
130,3.807179780324077e-07
131,3.772709931126883e-07
132,3.7391228602245974e-07
133,3.706715006046579e-07
134,3.67253932154199e-07
135,3.6421934623831476e-07
136,3.609785039770941e-07
137,3.579439749046287e-07
138,3.5490936056703504e-07
139,3.518747746511508e-07
140,3.49046445080603e-07
141,3.461002222593379e-07
142,3.434486472997378e-07
143,3.405613426821219e-07
144,3.3776248642425344e-07
145,3.3505193641758524e-07
146,3.3231202678507543e-07
147,3.296898682947358e-07
148,3.2718557463340403e-07
149,3.246813093937817e-07
150,3.220886242161214e-07
151,3.1952538392943097e-07
152,3.172862648170849e-07
153,3.148409462028212e-07
154,3.1248396226146724e-07
155,3.1027428804009105e-07
156,3.078878023643483e-07
157,3.05589765048353e-07
158,3.0338011924868624e-07
159,3.0119988991827995e-07
160,2.9916699872956087e-07
161,2.969573245081847e-07
162,2.948360133814276e-07
163,2.9280312219270854e-07
164,2.9074075769131014e-07
165,2.887962580189196e-07
166,2.8676336683020054e-07
167,2.8475992053245136e-07
168,2.8287431064200064e-07
169,2.809298109696101e-07
170,2.790442295008688e-07
171,2.771586196104181e-07
172,2.7539087454897526e-07
173,2.735936845965625e-07
174,2.717375195970817e-07
175,2.698813830193103e-07
176,2.68202029474196e-07
177,2.6652267592908174e-07
178,2.647549308676389e-07
179,2.6310505063520395e-07
180,2.613373055737611e-07
181,2.5968739691961673e-07
182,2.581553246727708e-07
183,2.564464978149772e-07
184,2.549733721934899e-07
185,2.532056271320471e-07
186,2.5179141971420904e-07
187,2.5025937588907254e-07
188,2.4875677695490594e-07
189,2.471363416134409e-07
190,2.4572213419560285e-07
191,2.4421953526143625e-07
192,2.4283480115627754e-07
193,2.412732840184617e-07
194,2.399474681169522e-07
195,2.3847434249546495e-07
196,2.3717798569578008e-07
197,2.35734290754408e-07
198,2.34349570860104e-07
199,2.3296483675494528e-07
